NAGALAND,KIPHIRE,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
NAGALAND,KOHIMA,2011,7,6,8,0,0,0,0,0,0,0,0,5,28,70,59,11,0,3,7,0,0,10,0,0,0,0,0,0,64,208
NAGALAND,LONGLENG,2011,0,2,1,1,0,1,1,0,1,0,0,0,0,11,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,18
NAGALAND,MOKOKCHUNG,2011,3,0,1,2,0,2,2,1,1,0,0,3,0,21,11,10,0,0,2,0,0,3,0,0,0,0,0,3,16,56
NAGALAND,MON,2011,6,3,0,2,0,2,0,0,0,1,0,0,3,8,4,4,1,0,0,1,0,6,0,0,0,0,0,2,9,42
NAGALAND,PEREN,2011,4,1,0,0,0,0,0,0,0,0,0,0,1,5,0,5,0,1,0,0,0,3,0,0,0,0,0,0,7,22
NAGALAND,PHEK,2011,4,8,0,3,0,3,0,0,0,0,0,1,2,10,1,9,0,1,1,0,1,3,0,2,0,0,0,0,12,48
NAGALAND,TUENSANG,2011,1,2,1,2,0,2,4,0,4,0,0,2,1,17,0,17,0,0,3,0,0,1,0,0,0,0,0,3,5,42
NAGALAND,WOKHA,2011,2,7,0,1,0,1,2,0,2,1,0,2,0,24,3,21,0,2,1,0,0,5,0,0,0,0,0,0,18,65
NAGALAND,ZUNHEBOTO,2011,4,4,0,3,0,3,1,1,0,1,0,0,12,24,1,23,0,0,0,0,0,10,0,0,0,0,0,0,11,70
NAGALAND,TOTAL,2011,46,43,11,23,0,23,34,3,31,7,0,59,73,360,85,275,1,16,31,5,2,55,0,9,0,1,0,15,292,1083
TAMIL NADU,COIMBATORE RURAL,2011,39,31,0,5,0,5,48,29,19,4,0,112,166,402,111,291,78,9,51,11,0,464,1,43,0,50,0,554,2522,4590
TAMIL NADU,COIMBATORE URBAN,2011,26,41,0,9,0,9,27,10,17,0,0,48,105,824,339,485,30,6,171,19,23,398,2,32,5,83,0,283,1898,4030
D & N HAVELI,D and N HAVELI,2011,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372
D & N HAVELI,TOTAL,2011,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372
DAMAN & DIU,DAMAN,2011,6,1,0,1,0,1,2,1,1,4,0,4,24,37,25,12,15,2,7,1,0,9,0,0,0,2,0,36,19,170
DAMAN & DIU,DIU,2011,0,0,0,0,0,0,1,1,0,0,0,2,7,10,8,2,4,1,3,1,0,2,0,0,0,0,0,7,16,54
DAMAN & DIU,TOTAL,2011,6,1,0,1,0,1,3,2,1,4,0,6,31,47,33,14,19,3,10,2,0,11,0,0,0,2,0,43,35,224
LAKSHADWEEP,LAKSHADWEEP,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44
LAKSHADWEEP,TOTAL,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44
SIKKIM,EAST,2011,8,3,3,7,0,7,5,5,0,0,0,2,28,40,7,33,8,3,20,3,4,24,0,6,0,2,0,24,59,249
SIKKIM,NORTH,2011,1,0,0,0,0,0,0,0,0,0,0,0,3,9,0,9,2,0,1,0,0,6,0,1,0,0,0,7,16,46
SIKKIM,SOUTH,2011,2,3,4,4,0,4,4,4,0,0,0,3,24,20,1,19,10,1,6,0,0,24,0,11,0,1,0,21,57,195
SIKKIM,WEST,2011,3,1,1,5,0,5,1,1,0,0,0,0,5,3,0,3,5,0,4,0,0,21,0,6,0,1,0,5,45,106
SIKKIM,TOTAL,2011,14,7,8,16,0,16,10,10,0,0,0,5,60,72,8,64,25,4,31,3,4,75,0,24,0,4,0,57,177,596
