STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
UTTAR PRADESH,MAINPURI,2001,136,151,20,13,0,13,56,31,25,38,0,72,88,191,26,165,120,41,83,6,29,272,42,32,3,63,0,5,686,2147
UTTAR PRADESH,MATHURA,2001,125,170,9,25,0,25,62,33,29,21,0,97,108,372,144,228,170,68,127,1,19,125,21,48,50,77,0,214,1081,2990
UTTAR PRADESH,MAU,2001,49,49,9,17,0,17,30,25,5,4,0,27,79,117,12,105,122,27,34,2,21,133,16,33,27,39,0,68,428,1331
UTTAR PRADESH,MEERUT,2001,275,239,10,28,0,28,160,96,64,35,0,210,268,1202,434,768,195,98,193,5,5,76,34,59,123,236,0,238,1688,5377
UTTAR PRADESH,MIRZAPUR,2001,44,67,8,16,0,16,14,6,8,7,0,18,77,157,24,133,28,16,34,0,2,191,23,16,21,39,0,118,289,1185
UTTAR PRADESH,MORADABAD,2001,213,171,18,44,0,44,102,72,30,20,0,101,160,607,160,447,97,40,104,2,21,246,45,79,85,207,0,238,845,3445
UTTAR PRADESH,MUZAFFARNAGAR,2001,324,255,12,54,0,54,142,67,75,23,5,150,185,637,189,448,186,74,94,10,18,110,24,51,33,265,0,116,1274,4042
UTTAR PRADESH,PILIBHIT,2001,115,233,12,64,0,64,66,47,19,21,0,62,92,192,25,167,84,41,69,0,5,21,44,50,20,195,0,49,804,2239
UTTAR PRADESH,PRATAPGARH,2001,76,123,22,18,0,18,43,35,8,6,0,44,129,139,17,122,101,29,59,1,22,519,33,21,9,44,0,100,883,2421
UTTAR PRADESH,RAIBAREILLY,2001,87,63,26,58,0,58,58,50,8,3,0,41,160,304,46,258,94,49,35,3,3,379,29,57,17,137,0,127,814,2544
UTTAR PRADESH,RAMPUR,2001,89,98,26,22,0,22,44,27,17,11,0,35,71,266,31,235,51,34,45,0,9,138,18,11,0,49,0,62,565,1644
UTTAR PRADESH,SAHARANPUR,2001,101,128,14,41,0,41,75,52,23,13,0,65,79,428,133,295,161,61,161,3,7,53,21,45,96,196,0,47,1074,2869
UTTAR PRADESH,SANT KABIRNAGAR,2001,16,16,4,9,0,9,17,16,1,0,0,4,18,39,8,31,27,12,32,1,7,131,7,11,6,26,0,53,163,599
UTTAR PRADESH,SHAHJAHANPUR,2001,196,223,37,55,0,55,112,68,44,15,0,70,83,340,54,286,61,43,81,0,7,467,66,61,21,146,0,67,790,2941
UTTAR PRADESH,SHRAWASTI,2001,35,30,15,13,0,13,21,18,3,6,1,13,49,108,2,106,37,10,22,1,4,113,4,16,8,18,0,29,194,747
UTTAR PRADESH,SIDHARTHNAGAR,2001,13,18,8,12,0,12,24,24,0,2,1,10,84,82,11,71,26,19,30,5,8,131,13,20,3,28,0,10,287,834
UTTAR PRADESH,SITAPUR,2001,162,139,56,85,0,85,99,47,52,5,0,95,237,826,42,784,124,57,134,0,18,291,82,71,35,106,0,165,1945,4732
UTTAR PRADESH,SONBHADRA,2001,33,23,20,5,0,5,9,6,3,2,0,10,54,91,14,77,21,11,18,1,5,109,12,9,4,5,0,57,96,595
UTTAR PRADESH,ST.RAVIDASNAGAR,2001,21,24,4,1,0,1,8,7,1,2,0,12,49,100,34,66,26,11,12,0,2,107,9,3,3,23,0,60,113,590
UTTAR PRADESH,SULTANPUR,2001,103,154,25,29,0,29,47,35,12,8,0,42,157,295,39,256,76,47,62,0,3,352,38,34,17,153,0,123,775,2540
UTTAR PRADESH,UNNAO,2001,147,141,15,53,0,53,97,79,18,9,1,74,85,361,28,333,147,34,60,0,23,463,63,100,12,168,0,162,1333,3548
UTTAR PRADESH,VARANASI,2001,78,89,17,27,0,27,55,35,20,9,0,95,161,535,237,298,85,86,99,10,9,324,31,19,90,119,0,179,787,2904
UTTAR PRADESH,TOTAL,2001,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129
DELHI UT,CENTRAL,2001,29,42,4,28,0,28,62,42,20,3,1,42,149,1595,560,1035,9,57,134,3,1,113,4,30,7,2,0,13,1422,3750
DELHI UT,DELHI UT TOTAL,2001,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384
DELHI UT,EAST,2001,56,51,15,24,0,24,163,39,124,4,15,47,270,1651,835,816,20,41,143,6,4,257,11,56,11,27,0,23,1552,4447
DELHI UT,G.R.P.(RLY),2001,11,4,0,1,0,1,7,7,0,1,0,11,2,1430,13,1417,0,2,19,2,0,7,0,4,0,0,0,0,129,1630
DELHI UT,I.G.I. AIRPORT,2001,2,2,1,0,0,0,4,1,3,0,0,2,0,52,7,45,1,6,483,1,1,5,0,0,2,0,0,2,61,625
DELHI UT,NEW DELHI,2001,11,14,0,9,0,9,27,19,8,1,0,22,75,1237,341,896,14,36,296,12,3,35,0,20,6,2,0,109,731,2660
